model numbaring in vm,model name,loaded,Satisfiable,required,disallowed,interactions,notes
0,id-021_var-14_in-3.rein,to do,,,,,
1,FullABN.rein,to do,,,,,
2,Pearson792With23SpecificationsLegacy.rein,SKIP_TOO_LARGE,,,,,
3,practicemodel.rein,SKIP_NO_EXPERIMENTS,,,,,
4,practicemodel10.rein,17,no solution,,,,
5,practicemodel11.rein,17,no solution,,,,
6,practicemodel12.rein,17,no solution,,,,
7,practicemodel13.rein,17,no solution,,,,
8,practicemodel14.rein,17,no solution,,,,
9,practicemodel15.rein,17,no solution,,,,
10,practicemodel16.rein,17,no solution,,,,
11,practicemodel17.rein,34,found,0,0,,
12,practicemodel18.rein,17,found,0,0,,
13,practicemodel19.rein,17,found,0,0,,
14,practicemodel20.rein,"RE:IN(2,17):error : parsing failed at line 2, column 17: parse error",,,,,
15,practicemodel21.rein,"RE:IN(8,18):error : parsing failed at line 8, column 18: parse error",,,,,
16,practicemodel22.rein,7,found,0,0,,
17,practicemodel23.rein,7,no,,,,
18,practicemodel24.rein,7,no,,,,
19,practicemodel25.rein,7,no,,,,
20,practicemodel26.rein,7,no,,,,
21,practicemodel27.rein,7,no,,,,
22,practicemodel28.rein,7,found,0,0,,
23,practicemodel29.rein,7,no,,,,
24,practicemodel3.rein,8,found,0,0,,
25,practicemodel30.rein,7,found,0,0,,
26,practicemodel31.rein,7,found,0,0,,
27,practicemodel32-2.rein,7,found,0,0,,
28,practicemodel32-3.rein,7,found,0,0,,
29,practicemodel32-4.rein,7,found,0,0,,
30,practicemodel32.rein,7,found,0,0,,
31,practicemodel33.rein,"ERROR: RE:IN(79,1):error : parsing failed at line 79, column 1: parse error",,,,,
32,practicemodel34.rein,"ERROR: RE:IN(79,1):error : parsing failed at line 79, column 1: parse error",,,,,
33,practicemodel35.rein,"ERROR: RE:IN(163,1):error : parsing failed at line 163, column 1: parse error",,,,,
34,practicemodel36.rein,7,ERROR: The given key was not present in the dictionary.,,,,
35,practicemodel37.rein,7,found,0,0,,
36,practicemodel38.rein,"ERROR: RE:IN(164,1):error : parsing failed at line 164, column 1: parse error",,,,,
37,practicemodel39.rein,7,ERROR: The given key was not present in the dictionary.,,,,
38,practicemodel4.rein,8,found,0,0,,
39,practicemodel40.rein,7,found,0,0,,
40,practicemodel41.rein,7,found,0,0,,
41,practicemodel42.rein,7,found,0,0,,
42,practicemodel43.rein,7,ERROR: The given key was not present in the dictionary.,,,,
43,practicemodel44.rein,7,found,0,0,,
44,practicemodel45.rein,7,found,0,1,DIS: green -> green (+),
45,practicemodel46.rein,7,found,0,0,,
46,practicemodel47.rein,7,no,,,,
47,practicemodel48.rein,7,no,,,,
48,practicemodel49.rein,7,found,0,0,,
